,airport_id,Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,TzDatabase,Type,Source
5110,6725,Noatak Airport,Noatak,United States,WTK,PAWN,67.56610107421875,-162.97500610351562,88,-9,A,America/Anchorage,airport,OurAirports
5112,6727,Puvirnituq Airport,Puvirnituq,Canada,YPX,CYPX,60.05059814453125,-77.28690338134766,74,-5,A,America/Toronto,airport,OurAirports
5113,6728,Tasiujaq Airport,Tasiujaq,Canada,YTQ,CYTQ,58.66780090332031,-69.95580291748047,122,-5,A,America/Toronto,airport,OurAirports
5114,6729,Arctic Village Airport,Arctic Village,United States,ARC,PARC,68.1147,-145.578995,2092,-9,A,America/Anchorage,airport,OurAirports
5115,6730,Sam Mbakwe International Airport,Imo,Nigeria,QOW,DNIM,5.427060127258301,7.2060298919677725,373,1,N,Africa/Lagos,airport,OurAirports
5116,6731,Arenal Airport,La Fortuna/San Carlos,Costa Rica,FON,MRAN,10.478,-84.634499,342,-6,U,America/Costa_Rica,airport,OurAirports
5117,6732,Tambor Airport,Nicoya,Costa Rica,TMU,MRTR,9.73852,-85.013802,33,-6,U,America/Costa_Rica,airport,OurAirports
5118,6733,Cauayan Airport,Cauayan,Philippines,CYZ,RPUY,16.9298992157,121.752998352,200,8,N,Asia/Manila,airport,OurAirports
5119,6734,Kirovsk-Apatity Airport,Apatity,Russia,KVK,ULMK,67.46330261230469,33.58829879760742,515,3,N,Europe/Moscow,airport,OurAirports
5120,6735,Coronel Altino Machado de Oliveira Airport,Governador Valadares,Brazil,GVR,SBGV,-18.89520072937,-41.982200622559,561,-3,S,America/Sao_Paulo,airport,OurAirports
5122,6737,Pajala Airport,Pajala,Sweden,PJA,ESUP,67.24559783935547,23.06889915466309,542,1,E,Europe/Stockholm,airport,OurAirports
5123,6738,Bella Coola Airport,Bella Coola,Canada,QBC,CYBD,52.387501,-126.596001,117,-8,A,America/Vancouver,airport,OurAirports
5124,6739,Hagerstown Regional Richard A Henson Field,Hagerstown,United States,HGR,KHGR,39.707901,-77.72949982,703,-5,A,America/New_York,airport,OurAirports
5125,6740,Araracuara Airport,Araracuara,Colombia,ACR,SKAC,-0.5833,-72.4083,1250,-5,U,America/Bogota,airport,OurAirports
5126,6741,Gorakhpur Airport,Gorakhpur,India,GOP,VEGK,26.739700317399997,83.44969940189999,259,5.5,N,Asia/Calcutta,airport,OurAirports
5127,6742,Sand Point Airport,Sand Point,United States,SDP,PASD,55.31499862670898,-160.5229949951172,21,-9,A,America/Anchorage,airport,OurAirports
5128,6743,Hami Airport,Hami,China,HMI,ZWHM,42.8414,93.669197,2703,8,U,Asia/Shanghai,airport,OurAirports
5129,6744,Wuzhou Changzhoudao Airport,Wuzhou,China,WUZ,ZGWZ,23.456699,111.248001,89,8,U,Asia/Shanghai,airport,OurAirports
5132,6747,Gorgan Airport,Gorgan,Iran,GBT,OING,36.909400939899996,54.4012985229,-24,3.5,E,Asia/Tehran,airport,OurAirports
5133,6748,Ilam Airport,Ilam,Iran,IIL,OICI,33.58660125732422,46.40480041503906,4404,3.5,E,Asia/Tehran,airport,OurAirports
5134,6749,Parsabade Moghan Airport,Parsabad,Iran,PFQ,OITP,39.60359954834,47.881500244140994,251,3.5,E,Asia/Tehran,airport,OurAirports
5136,6752,Tacheng Airport,Tacheng,China,TCG,ZWTC,46.67250061035156,83.3407974243164,0,8,U,Asia/Shanghai,airport,OurAirports
5137,6753,Mardin Airport,Mardin,Turkey,MQM,LTCR,37.223300933800004,40.6316986084,1729,3,E,Europe/Istanbul,airport,OurAirports
5139,6755,Deering Airport,Deering,United States,DRG,PADE,66.0696029663,-162.76600647,21,-9,A,America/Anchorage,airport,OurAirports
5140,6756,Leon Airport,Leon,Spain,LEN,LELN,42.5890007019043,-5.65556001663208,3006,1,E,Europe/Madrid,airport,OurAirports
5141,6757,Burgos Airport,Burgos,Spain,RGS,LEBG,42.357601,-3.6207599999999998,2945,1,E,Europe/Madrid,airport,OurAirports
5142,6758,Sege Airport,Sege,Solomon Islands,EGM,AGGS,-8.578889846801758,157.87600708007812,0,11,U,Pacific/Guadalcanal,airport,OurAirports
5144,6760,Kangra Airport,Kangra,India,DHM,VIGG,32.16510009765625,76.26339721679688,2525,5.5,N,Asia/Calcutta,airport,OurAirports
5147,6763,Igiugig Airport,Igiugig,United States,IGG,PAIG,59.32400131225586,-155.90199279785156,90,-9,A,America/Anchorage,airport,OurAirports
5149,6765,King Cove Airport,King Cove,United States,KVC,PAVC,55.11629867553711,-162.26600646972656,155,-9,A,America/Anchorage,airport,OurAirports
5150,6766,Port Heiden Airport,Port Heiden,United States,PTH,PAPH,56.95909881591797,-158.63299560546875,95,-9,A,America/Anchorage,airport,OurAirports
5151,6767,Togiak Airport,Togiak Village,United States,TOG,PATG,59.05279922485352,-160.39700317382812,21,-9,A,America/Anchorage,airport,OurAirports
5152,6768,Geneina Airport,Geneina,Sudan,EGN,HSGN,13.48169994354248,22.467199325561523,2650,3,U,Africa/Khartoum,airport,OurAirports
5153,6769,Long Akah Airport,Long Akah,Malaysia,LKH,WBGL,3.2999999523162837,114.78299713134766,289,8,N,Asia/Kuala_Lumpur,airport,OurAirports
5154,6771,Walaha Airport,Walaha,Vanuatu,WLH,NVSW,-15.4119997025,167.690994263,151,11,U,Pacific/Efate,airport,OurAirports
5155,6772,Chaoyang Airport,Chaoyang,China,CHG,ZYCY,41.538101,120.434998,568,8,U,Asia/Shanghai,airport,OurAirports
5156,6773,Buffalo Spring,Samburu South,Kenya,UAS,HKSB,0.530583,37.534195000000004,3295,3,U,Africa/Nairobi,airport,OurAirports
5158,6775,Bonaventure Airport,Bonaventure,Canada,YVB,CYVB,48.07109832763672,-65.46029663085939,123,-5,A,America/Toronto,airport,OurAirports
5159,6776,Sialkot Airport,Sialkot,Pakistan,SKT,OPST,32.5355567932,74.3638916016,837,5,N,Asia/Karachi,airport,OurAirports
5160,6777,Capitan Corbeta CA Curbelo International Airport,Punta del Este,Uruguay,PDP,SULS,-34.855098724365234,-55.09429931640625,95,-3,S,America/Montevideo,airport,OurAirports
5161,6778,Walvis Bay Airport,Walvis Bay,Namibia,WVB,FYWB,-22.9799,14.6453,299,1,S,Africa/Windhoek,airport,OurAirports
5162,6779,Katima Mulilo Airport,Mpacha,Namibia,MPA,FYKM,-17.634399,24.176701,3144,1,S,Africa/Windhoek,airport,OurAirports
5163,6780,Anadolu Airport,Eskissehir,Turkey,AOE,LTBY,39.809898,30.5194,2588,3,E,Europe/Istanbul,airport,OurAirports
5164,6781,Çanakkale Airport,Canakkale,Turkey,CKZ,LTBH,40.1376991272,26.4267997742,23,3,E,Europe/Istanbul,airport,OurAirports
5165,6782,Muş Airport,Mus,Turkey,MSR,LTCK,38.74779891967773,41.66120147705078,4157,3,E,Europe/Istanbul,airport,OurAirports
